NCM,PARAMETRIZAÇÃO
29342020,4202
29342031,4202
29342032,4202
29342033,4202
29342034,4202
29342039,4202
29342040,4202
29342090,4202
29343010,4202
29343020,4202
29343030,4202
29343090,4202
29349111,4202
29349112,4202
29349121,4202
29349122,4202
29349123,4202
29349129,4202
29349131,4202
29349132,4202
29349133,4202
29349141,4202
29349142,4202
29349149,4202
29349150,4202
29349160,4202
29349170,4202
29349911,4202
29349912,4202
29349913,4202
29349914,4202
29349915,4202
29349919,4202
29349922,4202
29349923,4202
29349924,4202
29349925,4202
29349926,4202
29349927,4202
29349929,4202
29349931,4202
29349932,4202
29349933,4202
29349934,4202
29349935,4202
29349939,4202
29349941,4202
29349942,4202
29349943,4202
29349944,4202
29349945,4202
29349946,4202
29349949,4202
29349951,4202
29349952,4202
29349953,4202
29349954,4202
29349959,4202
29349961,4202
29349969,4202
29349991,4202
29349992,4202
29349993,4202
29349999,4202
29350011,4202
29350012,4202
29350013,4202
29350014,4202
29350015,4202
29350019,4202
29350021,4202
29350022,4202
29350023,4202
29350024,4202
29350025,4202
29350029,4202
29350091,4202
29350092,4202
29350093,4202
29350094,4202
29350095,4202
29350096,4202
29350097,4202
29350099,4202
30045020,4322
39191010,4202
44199000,4202
1313133,4202
30043936,4202
30049041,4322
51082000,4202
29393010,4202
29395920,4202
29371100,4202
29371200,4202
29371910,4202
29371920,4202
29371930,4202
29371940,4202
29371950,4202
29371990,4202
29372110,4202
29372120,4202
29372130,4202
29372140,4202
29372210,4202
29372221,4202
29372229,4202
29372231,4202
29372239,4202
29372290,4202
29372310,4202
29372321,4202
29372322,4202
29372329,4202
29372331,4202
29372339,4202
29372341,4202
29372342,4202
29372349,4202
44032000,4202
44034100,4202
44034900,4202
44039100,4202
44039200,4202
44039900,4202
44041000,4202
44042000,4202
44050000,4202
44061000,4202
44069000,4202
44071000,4202
44072100,4202
44072200,4202
44072500,4202
44072600,4202
44072700,4202
44072800,4202
44072910,4202
44072920,4202
44072930,4202
44072940,4202
44072990,4202
44079100,4202
44079200,4202
44079300,4202
44079400,4202
44079500,4202
44079910,4202
44079920,4202
44079930,4202
44079940,4202
44079950,4202
10085090,4202
44079960,4202
44079970,4202
44079990,4202
44081010,4202
44081091,4202
44081099,4202
44083110,4202
44083190,4202
44083910,4202
44083991,4202
44083992,4202
44083999,4202
44089010,4202
44089090,4202
44091000,4202
44092100,4202
44092900,4202
44101110,4202
44101121,4202
44101129,4202
44101190,4202
44101210,4202
44101290,4202
44101911,4202
44101919,4202
44101991,4202
44101992,4202
44101999,4202
44109000,4202
44111210,4202
44111290,4202
44111310,4202
44111391,4202
44111399,4202
44111410,4202
44111490,4202
44119210,4202
44119290,4202
44119310,4202
44119390,4202
44119410,4202
44119490,4202
44121000,4202
44123100,4202
44123200,4202
44123900,4202
44129400,4202
44129900,4202
44130000,4202
44140000,4202
44151000,4202
44152000,4003
44160010,4202
44160090,4202
44170010,4202
44170020,4202
44170090,4202
44181000,4202
44182000,4202
44184000,4202
44185000,4202
44186000,4202
44187100,4202
44187200,4202
44187900,4202
44189000,4202
44190000,4202
44201000,4202
44209000,4202
44211000,4202
44219000,4202
45011000,4202
45019000,4202
45020000,4202
45031000,4202
45039000,4202
45041000,4202
45049000,4351
46012100,4202
46012200,4202
46012900,4202
46019200,4202
46019300,4202
46019400,4202
46019900,4202
46021100,4202
46021200,4202
46021900,4202
46029000,4202
47010000,4202
47020000,4202
47031100,4202
47031900,4202
47032100,4202
47032900,4202
47041100,4202
47041900,4202
47042100,4202
47042900,4202
47050000,4202
47061000,4202
47062000,4202
47063000,4202
47069100,4202
47069200,4202
47069300,4202
47071000,4202
47072000,4202
47073000,4202
47079000,4202
73110000,     
73121010,     
73121090,     
73129000,     
73130000,4202
73141200,4202
73141400,4202
73141900,4202
73142000,4202
73143100,4202
73143900,4202
73144100,4202
73144200,4202
73144900,4202
73145000,     
73151100,     
73151210,     
73151290,4202
73151900,4202
73152000,4202
73158100,4202
73158200,4202
73158900,4202
73159000,4202
73160000,4202
73170010,4202
73170020,4202
